feature,feature_type,bin_description,count,bad,bad_rate,woe,total_iv,coefficient,bin_points
inq_last_6mths,continuous,"[1, 2)",59263,14300,0.24129726810995056,-0.2698334324816306,0.03164182710912661,-0.39830738136593896,-7.752801346599888
inq_last_6mths,continuous,"[2, inf)",31849,8530,0.2678263053785048,-0.4097480363263934,0.03164182710912661,-0.39830738136593896,-11.772800347911602
acc_open_past_24mths,continuous,"[-inf, 1)",79351,10387,0.1308994215573843,0.4776149219808519,0.08674742535240942,-0.7888568124839103,27.178195015104897
acc_open_past_24mths,continuous,"[1, 2)",78236,11686,0.1493685771256199,0.32415293121961297,0.08674742535240942,-0.7888568124839103,18.445595340418873
acc_open_past_24mths,continuous,"[2, 3)",88432,15109,0.1708544418310114,0.16418367543105525,0.08674742535240942,-0.7888568124839103,9.342706318000678
acc_open_past_24mths,continuous,"[3, 4)",84793,16091,0.18976802330381046,0.036120609118663105,0.08674742535240942,-0.7888568124839103,2.055406800566334
acc_open_past_24mths,continuous,"[4, 5)",73298,14988,0.2044803405277088,-0.05687485762495027,0.08674742535240942,-0.7888568124839103,-3.2364063617953613
acc_open_past_24mths,continuous,"[5, 6)",58316,12869,0.22067700116606076,-0.1536761544888307,0.08674742535240942,-0.7888568124839103,-8.74478644542072
acc_open_past_24mths,continuous,"[6, 7)",43521,10298,0.23662140116265712,-0.24411459399350022,0.08674742535240942,-0.7888568124839103,-13.891094553897734
acc_open_past_24mths,continuous,"[7, 9)",51529,13334,0.25876690795474394,-0.36301075127601157,0.08674742535240942,-0.7888568124839103,-20.65676036636627
acc_open_past_24mths,continuous,"[9, inf)",41173,12204,0.296407840089379,-0.550934981074663,0.08674742535240942,-0.7888568124839103,-31.35039896615838
avg_cur_bal,continuous,"[-inf, 4944)",239463,52913,0.2209652430646906,-0.15533355874188448,0.0455192816437252,-0.2292064071152026,-2.5682458143221525
avg_cur_bal,continuous,"[4944, 7123)",59867,13028,0.21761571483454992,-0.13578943537599428,0.0455192816437252,-0.2292064071152026,-2.245108216525593
avg_cur_bal,continuous,"[7123, 10682)",59868,12492,0.20865904990980155,-0.08237917292341318,0.0455192816437252,-0.2292064071152026,-1.362036431544322
avg_cur_bal,continuous,"[10682, 15291)",59857,11352,0.18965200394273019,0.036862175728125446,0.0455192816437252,-0.2292064071152026,0.6094699000483177
avg_cur_bal,continuous,"[15291, 21277)",59866,10390,0.17355427120569272,0.14522884836533176,0.0455192816437252,-0.2292064071152026,2.401177085969368
avg_cur_bal,continuous,"[21277, 31246)",59858,9277,0.15498346085736242,0.28061674898231254,0.0455192816437252,-0.2292064071152026,4.639646428239496
avg_cur_bal,continuous,"[31246, inf)",59864,7511,0.12546772684752105,0.5262065793922922,0.0455192816437252,-0.2292064071152026,8.700166634556282
avg_cur_bal,continuous,__MISSING__,6,3,0.5,-1.4153770338576708,0.0455192816437252,-0.2292064071152026,-23.401486274662343
bc_open_to_buy,continuous,"[-inf, 305)",59286,14538,0.24521809533448033,-0.29110970268071745,0.057712531617155075,-0.6382642190582105,-13.402990898100253
bc_open_to_buy,continuous,"[305, 883)",59333,13621,0.2295687054421654,-0.20464496752982067,0.057712531617155075,-0.6382642190582105,-9.422065330994856
