feature,feature_type,bin,bin_description,count,bad,good,dist_good,dist_bad,woe,iv_component,bad_rate,total_iv
avg_cur_bal,continuous,3,"[10682, 15291)",59857,11352,48505,0.10069920923753392,0.09705480037616483,0.036862175728125446,0.00013434083987292491,0.18965200394273019,0.0455192816437252
avg_cur_bal,continuous,4,"[15291, 21277)",59866,10390,49476,0.102715041095151,0.08883046935111567,0.14522884836533176,0.002016440364432077,0.17355427120569272,0.0455192816437252
avg_cur_bal,continuous,5,"[21277, 31246)",59858,9277,50581,0.1050090619011931,0.07931520902795589,0.28061674898231254,0.007210125462117675,0.15498346085736242,0.0455192816437252
avg_cur_bal,continuous,6,"[31246, inf)",59864,7511,52353,0.10868779933857463,0.06421732068051637,0.5262065793922922,0.023400658458594768,0.12546772684752105,0.0455192816437252
avg_cur_bal,continuous,__MISSING__,__MISSING__,6,3,3,7.266129249907097e-06,2.992220227408737e-05,-1.4153770338576708,3.206688543582706e-05,0.5,0.0455192816437252
bc_open_to_buy,continuous,0,"[-inf, 305)",59286,14538,44748,0.0928992492035828,0.12429095976370312,-0.29110970268071745,0.009138431527795763,0.24521809533448033,0.057712531617155075
bc_open_to_buy,continuous,1,"[305, 883)",59333,13621,45712,0.09490054257056169,0.1164514433002911,-0.20464496752982067,0.004410283380073865,0.2295687054421654,0.057712531617155075
bc_open_to_buy,continuous,2,"[883, 1682)",59211,13142,46069,0.09564168544609224,0.11235642870271818,-0.1610674520617068,0.002692201108210337,0.22195200216176048,0.057712531617155075
bc_open_to_buy,continuous,3,"[1682, 2707)",59257,12862,46395,0.09631847137724898,0.10996268321770687,-0.1324809535791755,0.001807598195460138,0.21705452520377339,0.057712531617155075
bc_open_to_buy,continuous,4,"[2707, 4074)",59272,12288,46984,0.09754125332035123,0.1050555049734337,-0.07421342978688042,0.0005576583874569865,0.20731542718315563,0.057712531617155075
bc_open_to_buy,continuous,5,"[4074, 5981)",59286,11853,47433,0.09847339099853951,0.10133665038064828,-0.028661776685647348,8.206610100308613e-05,0.19992915696791821,0.057712531617155075
bc_open_to_buy,continuous,6,"[5981, 8863)",59248,11145,48103,0.09986433140919909,0.09528389393997683,0.04695178634891637,0.00021505972143949498,0.1881076154469349,0.057712531617155075
bc_open_to_buy,continuous,7,"[8863, 13739)",59269,10125,49144,0.10202547912188063,0.08656382110172135,0.1643406193130348,0.0025409784546393276,0.17083129460594915,0.057712531617155075
bc_open_to_buy,continuous,8,"[13739, 23962)",59270,9106,50164,0.10414303019482508,0.07785229735448379,0.2909518367734362,0.007649337010016999,0.15363590349249198,0.057712531617155075
bc_open_to_buy,continuous,9,"[23962, inf)",59270,7031,52239,0.10845079340694246,0.06011293349234643,0.5900715351949405,0.028522795207843652,0.1186266239244137,0.057712531617155075
bc_open_to_buy,continuous,__MISSING__,__MISSING__,5947,1255,4692,0.00974177295077628,0.01073338377297034,-0.09693573432644044,9.612252321542655e-05,0.21103077181772323,0.057712531617155075
bc_util,continuous,0,"[-inf, 22.5)",59236,9271,49965,0.10372990013255455,0.07926289737243687,0.2690202642938212,0.00658211954900451,0.15650955500033764,0.027901254978108237
bc_util,continuous,1,"[22.5, 36.6)",59361,9594,49767,0.10331884610074768,0.08202425377121778,0.2308048187288268,0.004914894522521415,0.16162126648809824,0.027901254978108237
bc_util,continuous,2,"[36.6, 47.6)",59278,10292,48986,0.10169746630862062,0.08799151930171024,0.144761951095249,0.0019840996303284336,0.17362259185532575,0.027901254978108237
bc_util,continuous,3,"[47.6, 57.3)",59060,10812,48248,0.1001653558264314,0.09243704663101696,0.08029454277138652,0.0006205410532417043,0.18306806637317982,0.027901254978108237
bc_util,continuous,4,"[57.3, 66.3)",59634,11514,48120,0.0998996239270815,0.09843850852558102,0.014733846847038691,2.1527850551557587e-05,0.19307777442398633,0.027901254978108237
bc_util,continuous,5,"[66.3, 74.8)",59394,11754,47640,0.09890312930451942,0.10049029036987642,-0.015920230371349153,2.526796979691941e-05,0.19789877765430852,0.027901254978108237
bc_util,continuous,6,"[74.8, 82.8)",59306,12208,47098,0.09777792079320972,0.1043715776920019,-0.06525860126104994,0.00043029282641044933,0.20584763767578323,0.027901254978108237
bc_util,continuous,7,"[82.8, 90)",59581,12510,47071,0.0977218679706906,0.10695340317940695,-0.09026789355838359,0.0008333112376008779,0.20996626441315183,0.027901254978108237
bc_util,continuous,8,"[90, 95.9)",58260,13256,45004,0.09343071300228259,0.1133310250787585,-0.19309283760059798,0.003842607727984182,0.22753175420528665,0.027901254978108237
bc_util,continuous,9,"[95.9, inf)",59195,14417,44778,0.09296153011749295,0.12325651975053753,-0.28208195718424506,0.00854566996856563,0.24355097558915448,0.027901254978108237
bc_util,continuous,__MISSING__,__MISSING__,6344,1338,5006,0.010393646516368982,0.011442958327455833,-0.09617984000201431,0.00010092264210255721,0.2109079445145019,0.027901254978108237
mort_acc,continuous,0,"[-inf, 0)",239400,53590,185810,0.3857502605431754,0.4581598543203755,-0.17202798345603867,0.012456476400362656,0.2238512949039265,0.02973156735598819
mort_acc,continuous,1,"[0, 1)",100268,19884,80384,0.16688153693484967,0.16999803366703997,-0.01850266928831676,5.766350837383709e-05,0.19830853313120836,0.02973156735598819
mort_acc,continuous,2,"[1, 2)",85118,15520,69598,0.1444893561365703,0.13268900306918927,0.08519777759723467,0.001005363856203575,0.1823351112573134,0.02973156735598819
mort_acc,continuous,3,"[2, 3)",65111,11045,54066,0.11224428362044983,0.09443100308628782,0.17280815813851047,0.0030782801995131183,0.16963339527883153,0.02973156735598819
mort_acc,continuous,4,"[3, 5)",74721,11983,62738,0.13024771324057582,0.10245022185365353,0.24006108362033526,0.006673095904271502,0.16036990939628754,0.02973156735598819
mort_acc,continuous,5,"[5, inf)",34031,4944,29087,0.06038684952437895,0.042271884003453906,0.35664917384471995,0.0064606874872635035,0.1452793041638506,0.02973156735598819
mths_since_recent_inq,continuous,0,"[-inf, 1)",112005,26452,85553,0.1776118566374915,0.22614579682143438,-0.2415793212756628,0.01172479632847054,0.2361680282130262,0.037971584112456644
mths_since_recent_inq,continuous,1,"[1, 3)",93808,20410,73398,0.15237768015811065,0.17449196809465595,-0.13551653560087448,0.0029968516884408295,0.2175720620842572,0.037971584112456644
mths_since_recent_inq,continuous,2,"[3, 4)",40097,8298,31799,0.06601679925594992,0.07094493506937617,-0.07199476991489627,0.0003548000039969836,0.2069481507344689,0.037971584112456644
mths_since_recent_inq,continuous,3,"[4, 5)",35255,7025,28230,0.05860743884007905,0.060061895683545495,-0.024513994029779836,3.5654546377308795e-05,0.19926251595518366,0.037971584112456644
mths_since_recent_inq,continuous,4,"[5, 7)",61443,11958,49485,0.10273351214894288,0.10223474194458455,0.004866814044428357,2.4274218355135293e-06,0.19461940334944583,0.037971584112456644
mths_since_recent_inq,continuous,5,"[7, 9)",48605,9215,39390,0.08177596286392852,0.07878448504330134,0.037267260741422364,0.00011148418394349518,0.18958954840037034,0.037971584112456644
mths_since_recent_inq,continuous,6,"[9, 12)",53484,9746,43738,0.09080255268970785,0.083324071778475,0.08594991417537087,0.0006427747924826127,0.1822227208137013,0.037971584112456644
mths_since_recent_inq,continuous,7,"[12, 16)",47421,8284,39137,0.08125072661141652,0.07082524728351472,0.13732422689697033,0.0014316708887344611,0.17469053794732292,0.037971584112456644
mths_since_recent_inq,continuous,8,"[16, inf)",47594,7544,40050,0.08314614439222069,0.06449889288798079,0.25395177613103775,0.004735502639463889,0.15850737487918645,0.037971584112456644
